epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.965,2.5037,2.66661,1.14624,0.84558,0.66595,0.76812,0.26093,2.29854,1.25321,0.98746,0.09307,7e-05,7e-05
2,429.242,2.19029,1.17713,1.00022,0.92067,0.68822,0.83242,0.31808,2.20995,1.9787,0.96866,0.0851426,0.000142575,0.000142575
3,657.235,2.16407,1.32118,0.94637,0.73757,0.72629,0.75594,0.39722,2.02781,1.44327,0.94458,0.0772072,0.00020723,0.00020723
4,867.336,1.82147,1.26962,0.93532,0.7183,0.72905,0.75015,0.37475,2.03674,1.35521,0.95348,0.069264,0.000263965,0.000263965
5,1078.64,1.88664,1.20391,0.9441,0.64259,0.7694,0.75568,0.40719,2.03161,1.98573,0.95294,0.0613128,0.00031278,0.00031278
6,1306.74,1.55409,0.93858,0.91817,0.85373,0.75431,0.86029,0.45742,2.05005,1.41449,0.96221,0.0533537,0.000353675,0.000353675
7,1514.27,1.97099,1.07464,0.95086,0.83756,0.80675,0.87157,0.48484,1.99265,1.02955,0.95391,0.0453867,0.00038665,0.00038665
8,1732.05,1.62129,0.93857,0.90339,0.8589,0.84626,0.90697,0.55075,1.8595,0.95657,0.92776,0.0374117,0.000411705,0.000411705
9,1940.55,1.53304,0.84742,0.89563,0.83327,0.83908,0.86341,0.53023,2.02089,1.34814,0.96231,0.0294288,0.00042884,0.00042884
10,2149.58,1.54021,0.87402,0.89742,0.83327,0.83908,0.86341,0.53023,2.02089,1.34814,0.96231,0.0214381,0.000438055,0.000438055
11,2352.34,1.78017,1.219,0.93517,0.88975,0.86385,0.89131,0.56758,1.89654,1.15591,0.94865,0.0134393,0.00043935,0.00043935
12,2541.88,1.56268,0.94701,0.9241,0.88975,0.86385,0.89131,0.56758,1.89654,1.15591,0.94865,0.00543272,0.000432725,0.000432725
13,2719.24,1.76249,1.17264,0.92885,0.91446,0.86925,0.95608,0.60735,1.6549,0.86456,0.89312,0.000406,0.000406,0.000406
14,2896.17,1.50927,0.94793,0.90585,0.91446,0.86925,0.95608,0.60735,1.6549,0.86456,0.89312,0.0003565,0.0003565,0.0003565
15,3074.92,1.72201,0.95395,0.90925,0.93004,0.88218,0.96507,0.59953,1.66699,0.86451,0.89228,0.000307,0.000307,0.000307
16,3249.23,1.54238,1.01439,0.94162,0.93004,0.88218,0.96507,0.59953,1.66699,0.86451,0.89228,0.0002575,0.0002575,0.0002575
17,3432.12,1.60655,0.93936,0.92751,0.92596,0.9102,0.97138,0.60412,1.62734,0.84331,0.88455,0.000208,0.000208,0.000208
18,3614.11,1.7039,0.95443,0.94724,0.92596,0.9102,0.97138,0.60412,1.62734,0.84331,0.88455,0.0001585,0.0001585,0.0001585
19,3793.01,1.55607,0.89043,0.91107,0.92378,0.92026,0.97584,0.61852,1.5692,0.82784,0.87435,0.000109,0.000109,0.000109
20,3978.21,1.48508,0.92407,0.90295,0.92378,0.92026,0.97584,0.61852,1.5692,0.82784,0.87435,5.95e-05,5.95e-05,5.95e-05
